id,Gender_Choosen,BecsTM,DateOfBirth,DCK_value,nearest_decimal_age,TTM_kor_minus_nearest_decimal_age,TTM_value,TTS_value,VAS_value,AKK_value,KZK_value,PLX_value,nearest_TTM_kor,nearest_TTS_kor,nearest_PLX_kor,MK_value,korr_value,MK_korrected,nearest_MK_korrected_Age,nearest_MK_korrected_perc
0,2,170.3,2013-12-02,11.04,11.00,7.00,167.10,52.00,39.50,23.00,20.00,82.50,18.00,14.50,18.00,15.38,-1.23,14.15,14.25,98.12
1,2,158.38,2013-01-25,11.89,12.00,0.75,155.40,52.30,37.00,23.50,18.00,78.50,12.75,14.75,18.00,14.35,0.00,14.35,14.25,98.12
2,2,165.17,2013-07-17,11.42,11.50,3.00,160.20,51.80,41.50,23.00,18.30,82.80,14.50,14.50,18.00,14.60,-1.17,13.44,13.50,96.99
3,2,168.9,2013-08-11,11.35,11.25,1.25,154.00,37.80,34.50,20.60,18.00,73.10,12.50,11.00,13.25,12.02,-0.60,11.42,11.50,91.18
4,2,169.45,2014-02-02,10.87,10.75,1.75,154.50,44.50,37.00,21.80,13.50,72.30,12.50,12.50,13.00,12.22,-0.61,11.61,11.50,91.18
5,2,162.76,2013-02-14,11.84,11.75,2.50,159.70,60.30,44.00,25.80,19.00,88.80,14.25,18.00,18.00,15.52,-1.24,14.28,14.25,98.12
6,2,157.16,2013-03-27,11.72,11.75,0.75,153.80,48.10,39.00,23.50,18.70,81.20,12.50,13.50,18.00,13.93,0.00,13.93,14.00,97.86
7,2,155.97,2013-01-12,11.93,12.00,-0.25,149.90,42.50,36.50,21.60,17.90,76.00,11.75,12.25,15.75,12.92,0.00,12.92,13.00,96.11
8,2,158.15,2013-12-05,11.03,11.00,1.25,152.00,47.90,39.50,23.30,18.00,80.80,12.25,13.50,18.00,13.70,-0.68,13.01,13.00,96.11
9,2,164.89,2013-03-25,11.73,11.75,2.25,159.20,48.70,38.50,24.10,18.20,80.80,14.00,13.75,18.00,14.37,-1.15,13.22,13.25,96.55
10,2,154.24,2013-03-08,11.78,11.75,0.00,149.60,44.20,38.80,23.30,17.90,80.00,11.75,12.50,18.00,13.51,0.00,13.51,13.50,96.99
11,2,157.91,2013-10-11,11.18,11.25,-1.00,141.30,29.70,33.50,19.80,15.40,68.70,10.25,9.25,11.25,10.48,0.52,11.01,11.00,89.48
12,2,147.75,2013-07-12,11.43,11.50,-0.75,143.30,48.70,39.00,23.60,18.10,80.70,10.75,13.75,18.00,13.48,0.00,13.48,13.50,96.99
13,2,166.99,2013-03-03,11.79,11.75,0.75,153.70,35.00,34.00,19.60,16.20,69.80,12.50,10.50,12.00,11.70,0.00,11.70,11.75,92.04
14,1,184.95,2010-11-29,14.05,14.00,4.00,180.10,72.20,44.50,27.70,23.60,95.80,18.00,18.00,17.75,16.95,-1.36,15.59,15.50,97.38
15,1,175.07,2013-10-17,11.16,11.25,0.25,147.20,37.20,34.30,19.40,19.70,73.40,11.50,11.00,12.75,11.60,0.00,11.60,11.50,84.08
16,1,167.23,2013-08-13,11.34,11.25,-0.25,144.70,41.10,37.50,22.70,17.30,77.50,11.00,12.25,14.00,12.15,0.00,12.15,12.25,86.53
