age,TTM,Perc,TTS,PLX
18.00,175.02,100.00,67.34,86.12
17.75,174.74,99.84,66.64,86.75
17.50,174.44,99.67,65.93,85.38
17.25,174.14,99.50,65.23,85.00
17.00,173.84,99.33,64.53,84.63
16.75,173.30,99.02,63.78,84.28
16.50,172.76,98.71,63.05,83.52
16.25,172.21,98.39,62.31,83.19
16.00,171.67,98.09,61.57,83.15
15.75,171.05,97.73,60.72,82.65
15.50,170.43,97.38,59.86,82.15
15.25,169.80,97.02,59.01,81.65
15.00,169.18,96.66,58.15,81.15
14.75,167.90,95.93,56.67,80.30
14.50,166.63,95.21,55.20,79.46
14.25,165.35,94.47,53.72,78.61
14.00,164.07,93.74,52.24,77.76
13.75,162.00,92.68,50.56,76.84
13.50,160.33,91.61,48.89,75.92
13.25,158.46,90.54,47.27,75.00
13.00,156.59,89.47,45.53,74.08
12.75,154.83,88.46,44.24,73.23
12.50,153.14,87.50,42.94,72.38
12.25,151.45,86.53,41.65,71.52
12.00,149.76,85.57,40.35,70.67
11.75,148.46,84.82,39.46,70.17
11.50,147.16,84.08,38.57,69.68
11.25,145.86,83.34,37.67,69.18
11.00,144.56,82.60,36.78,68.68
10.75,143.22,81.83,35.87,68.06
10.50,141.89,81.07,34.96,67.43
10.25,140.55,80.31,34.04,66.81
10.00,139.21,79.54,33.13,66.18
9.75,137.81,78.47,32.25,65.65
9.50,136.42,77.95,31.37,65.13
9.25,135.02,77.18,30.49,64.60
9.00,133.62,76.15,29.61,64.07
8.75,132.15,75.51,28.74,63.44
8.50,130.69,74.76,27.87,62.73
8.25,129.22,73.83,26.99,62.05
8.00,127.75,72.99,26.12,61.37
7.75,126.43,72.24,25.50,60.85
7.50,125.10,71.48,24.87,60.33
7.25,123.78,70.72,24.35,59.80
7.00,122.45,69.96,23.62,59.27
